lang,similarity
af,0.95674056
af,0.9602739
af,0.9512149
af,0.9531179
af,0.9565197
af,0.9596997
af,0.9520571
af,0.95772374
af,0.95532084
af,0.9596045
af,0.95889145
af,0.9624063
af,0.9598487
af,0.9626521
af,0.95665646
af,0.9611069
af,0.9602146
af,0.9634044
af,0.95440483
af,0.95479435
af,0.9595148
af,0.9636565
af,0.9642638
af,0.96658355
af,0.9645043
af,0.9674416
af,0.9623823
af,0.9658844
af,0.95556283
af,0.95765775
af,0.9373935
af,0.9519493
af,0.9465025
af,0.9553766
af,0.9072822
af,0.9311547
af,0.9410101
af,0.94769335
af,0.9226568
af,0.9279809
af,0.94162214
af,0.94749916
af,0.9106816
af,0.91019243
af,0.895174
af,0.9162981
af,0.9327277
af,0.94423646
af,0.94261646
af,0.9433636
af,0.9622698
af,0.96557623
af,0.962743
af,0.9638504
af,0.96268415
af,0.9640233
af,0.9628932
af,0.963793
af,0.9607127
af,0.96048015
af,0.9006986
af,0.9217366
af,0.95086366
af,0.95520437
af,0.9325338
af,0.9412338
af,0.9429921
af,0.9486896
af,0.922838
af,0.9277141
af,0.95630026
af,0.95850235
af,0.9621518
af,0.96536225
af,0.95944774
af,0.96232307
af,0.9631338
af,0.9654502
af,0.9634084
af,0.966877
af,0.8989153
af,0.9102416
af,0.91807115
af,0.91362405
af,0.9104738
af,0.91873074
af,0.8914814
af,0.9089692
af,0.928285
af,0.9244478
af,0.89073706
af,0.904864
af,0.9293548
af,0.92194176
af,0.9005914
af,0.91104466
af,0.88144755
af,0.9008978
af,0.90922976
af,0.9059999
af,0.9616806
af,0.9638632
af,0.9615698
af,0.9613673
af,0.960388
af,0.9607082
af,0.9603151
af,0.96066034
af,0.9605821
af,0.960271
af,0.90095526
af,0.90513825
af,0.942489
af,0.93699783
af,0.9159415
af,0.9188801
af,0.92690134
af,0.92148465
af,0.90445435
af,0.9084377
af,0.961819
af,0.9662837
af,0.955038
af,0.9569984
af,0.9579627
af,0.96203935
af,0.9611699
af,0.9673816
af,0.9604311
af,0.96596575
af,0.92881256
af,0.92508197
af,0.91849613
af,0.91590536
af,0.94150233
af,0.94530797
af,0.935895
af,0.94082505
af,0.9323796
af,0.94006693
af,0.9036384
af,0.9067527
af,0.9290325
af,0.92297524
af,0.9317317
af,0.93911797
af,0.92705244
af,0.9372588
af,0.936671
af,0.94213057
af,0.96162
af,0.9629867
af,0.9622698
af,0.9632719
af,0.9593567
af,0.9622932
af,0.96080536
af,0.96290463
af,0.9581888
af,0.9592651
af,0.9256493
af,0.9204044
af,0.93964094
af,0.93929374
af,0.94578266
af,0.9449869
af,0.93754375
af,0.93752486
af,0.9416166
af,0.9365512
af,0.960786
af,0.96096414
af,0.9573102
af,0.9561614
af,0.9618814
af,0.96210545
af,0.9596988
af,0.960235
af,0.95414406
af,0.9526428
af,0.95283675
af,0.9485404
af,0.9563561
af,0.9535345
af,0.9575713
af,0.95498586
af,0.95632684
af,0.9528639
af,0.9545502
af,0.9501848
af,0.95772046
af,0.95844394
af,0.95659715
af,0.95778966
af,0.9612533
af,0.95940846
af,0.95928854
af,0.9561377
af,0.9571703
af,0.95984906
af,0.96136975
af,0.96219474
af,0.9599949
af,0.9611654
af,0.96218747
af,0.9632978
af,0.9576671
af,0.95666856
af,0.9541402
af,0.9537454
af,0.9571889
af,0.95468503
af,0.95364547
af,0.94941545
af,0.9508752
af,0.94811946
af,0.9562473
af,0.9532123
af,0.9575389
af,0.95542926
af,0.9609659
af,0.95883316
af,0.95836383
af,0.9603958
af,0.9591375
af,0.9566146
af,0.9583616
af,0.959067
af,0.95818704
af,0.9589438
af,0.95039445
af,0.95004123
af,0.9550488
af,0.95244384
af,0.9546012
af,0.95205253
af,0.9521482
af,0.9508358
af,0.955498
af,0.95283675
af,0.9593345
af,0.9591676
af,0.9575329
af,0.957855
af,0.95412827
af,0.9544037
af,0.95897347
af,0.959064
af,0.9555522
af,0.9553739
af,0.94669753
af,0.9516802
af,0.9475551
af,0.95175445
af,0.94601876
af,0.95145756
af,0.95276546
af,0.9525935
af,0.94755304
af,0.95094776
af,0.9474947
af,0.94881546
af,0.94079965
af,0.9417004
af,0.9450829
af,0.94467866
af,0.94065297
af,0.94040793
af,0.9459878
af,0.9465582
af,0.88963264
af,0.8928775
af,0.86347985
af,0.8648117
af,0.900939
af,0.90835106
af,0.89199597
af,0.9038246
af,0.9119425
af,0.9173936
af,0.96086025
af,0.9608084
af,0.9647964
af,0.9648992
af,0.96525407
af,0.9652838
af,0.9656215
af,0.96565735
af,0.9574821
af,0.95676214
af,0.9560062
af,0.9566417
af,0.9583686
af,0.9591342
af,0.9517658
af,0.9514599
af,0.9522281
af,0.9526818
af,0.9568739
af,0.95769334
af,0.9547992
af,0.9557153
af,0.95390177
af,0.95474064
af,0.9505619
af,0.9512027
af,0.9554235
af,0.95548826
af,0.95194656
af,0.95220643
af,0.9551764
af,0.9530774
af,0.9551787
af,0.95373607
af,0.9519857
af,0.95080096
af,0.95328766
af,0.9519784
af,0.95147085
af,0.94929034
af,0.95136046
af,0.9506531
af,0.9524048
af,0.95013076
af,0.9564202
af,0.95481825
af,0.9559873
af,0.95492995
af,0.9546694
af,0.9534657
af,0.9536768
af,0.9534119
af,0.95234156
af,0.9508732
af,0.9532242
af,0.94750386
af,0.952817
af,0.94802105
af,0.9534444
af,0.9501931
af,0.95334125
af,0.9486844
af,0.9532105
af,0.94743603
af,0.9526311
af,0.94860446
af,0.9539159
af,0.9475482
af,0.95374537
af,0.9526207
af,0.9547587
af,0.95385027
af,0.95589226
af,0.9562716
af,0.95776933
af,0.95817566
af,0.9565456
af,0.9572206
af,0.95328367
af,0.9527032
af,0.9439048
af,0.9482167
af,0.9486863
af,0.95116514
af,0.9432474
af,0.9463952
af,0.94491297
af,0.94684
af,0.9448564
af,0.94568795
af,0.951995
af,0.9544804
af,0.95558727
af,0.9557494
af,0.9584774
af,0.95948035
af,0.9542921
af,0.95419216
af,0.9538648
af,0.9550971
af,0.956075
af,0.9535021
af,0.9603394
af,0.9594487
af,0.95382524
af,0.95277536
af,0.9597581
af,0.95906943
af,0.9593799
af,0.9583615
af,0.94670945
af,0.9509993
af,0.9518118
af,0.954923
af,0.9519218
af,0.954173
af,0.95142466
af,0.95381266
af,0.94933116
af,0.953192
af,0.9586758
af,0.9605054
af,0.9515346
af,0.9537363
af,0.95947087
af,0.9601599
af,0.9560153
af,0.95614505
af,0.95973843
af,0.96001107
af,0.9532529
af,0.9515381
af,0.95697457
af,0.95414555
af,0.95923144
af,0.95840263
af,0.95952964
af,0.9586824
af,0.95955205
af,0.9581559
af,0.95720357
af,0.9569415
af,0.9527181
af,0.9549027
af,0.9578132
af,0.9567969
af,0.95753396
af,0.95803034
af,0.95741844
af,0.95667976
af,0.9575927
af,0.957147
af,0.95649093
af,0.9566469
af,0.9543606
af,0.95672417
af,0.9541618
af,0.9560914
af,0.953152
af,0.9558061
af,0.95374954
af,0.95288146
af,0.94798267
af,0.9474812
af,0.9521305
af,0.9516811
af,0.9487384
af,0.94957787
af,0.95304674
af,0.9527222
af,0.94856626
af,0.95070004
af,0.9492647
af,0.9480797
af,0.9480431
af,0.9465874
af,0.95149225
af,0.9520884
af,0.94578034
af,0.94826055
am,0.86334544
am,0.8708606
am,0.83016473
am,0.8375397
am,0.8693312
am,0.8735545
am,0.86687976
am,0.86843324
am,0.86752254
am,0.8743651
am,0.8784341
am,0.8859381
am,0.877678
am,0.88664854
am,0.8783765
am,0.8816625
am,0.8750824
am,0.8856695
am,0.83519906
am,0.8450456
am,0.87043434
am,0.86626804
am,0.8735321
am,0.87262774
am,0.87310433
am,0.8745084
am,0.8725549
am,0.87231386
am,0.8275614
am,0.83918214
am,0.87061167
am,0.8717681
am,0.8683033
am,0.8682965
am,0.8687625
am,0.8656739
am,0.8413273
am,0.8359636
am,0.8653839
am,0.8656407
am,0.8568542
am,0.85466695
am,0.8553818
am,0.8591426
am,0.85761625
am,0.8525009
am,0.8578434
